i_trial,i_agente,t,t_tao
35,1,8860,0.886
36,1,12648,1.2648
37,1,47,0.0047
38,1,1752,0.1752
39,1,8053,0.8053
40,1,18087,1.8087
41,1,1337,0.1337
42,1,17863,1.7863
43,1,8574,0.8574
44,1,1875,0.1875
45,1,5066,0.5066
46,1,5472,0.5472
47,1,3304,0.3304
48,1,2913,0.2913
49,1,47,0.0047
50,1,17938,1.7938
51,1,4475,0.4475
52,1,56,0.0056
53,1,11465,1.1465
54,1,2037,0.2037
55,1,2658,0.2658
56,1,2012,0.2012
57,1,389,0.0389
58,1,283,0.0283
59,1,1455,0.1455
60,1,5721,0.5721
61,1,15570,1.557
62,1,10109,1.0109
63,1,15720,1.572
64,1,5078,0.5078
65,1,16186,1.6186
66,1,3548,0.3548
67,1,47,0.0047
68,1,6397,0.6397
69,1,6269,0.6269
70,1,6205,0.6205
71,1,11868,1.1868
72,1,8030,0.803
73,1,9145,0.9145
74,1,9662,0.9662
75,1,7149,0.7149
76,1,1730,0.173
77,1,3312,0.3312
78,1,440,0.044
79,1,18615,1.8615
80,1,5352,0.5352
81,1,34063,3.4063
82,1,6339,0.6339
83,1,5451,0.5451
84,1,13112,1.3112
85,1,1416,0.1416
86,1,3302,0.3302
87,1,18818,1.8818
88,1,4228,0.4228
89,1,47,0.0047
90,1,9865,0.9865
91,1,61,0.0061
92,1,5941,0.5941
93,1,7590,0.759
94,1,117,0.0117
95,1,8001,0.8001
96,1,9030,0.903
97,1,10613,1.0613
98,1,9348,0.9348
99,1,828,0.0828
100,1,7808,0.7808
101,1,3959,0.3959
102,1,5578,0.5578
103,1,2913,0.2913
104,1,1529,0.1529
105,1,16678,1.6678
106,1,26997,2.6997
107,1,3023,0.3023
108,1,6100,0.61
109,1,9020,0.902
110,1,22031,2.2031
111,1,1194,0.1194
112,1,2955,0.2955
113,1,21221,2.1221
114,1,21863,2.1863
115,1,10826,1.0826
116,1,6633,0.6633
117,1,4002,0.4002
118,1,158,0.0158
119,1,1006,0.1006
120,1,3121,0.3121
121,1,522,0.0522
122,1,4811,0.4811
123,1,23355,2.3355
124,1,13850,1.385
125,1,237,0.0237
126,1,10190,1.019
127,1,973,0.0973
128,1,2902,0.2902
129,1,3373,0.3373
130,1,2799,0.2799
131,1,8654,0.8654
132,1,7414,0.7414
133,1,630,0.063
134,1,27110,2.711
135,1,13328,1.3328
136,1,15039,1.5039
137,1,2375,0.2375
138,1,5168,0.5168
139,1,9881,0.9881
140,1,4360,0.436
141,1,6458,0.6458
142,1,7846,0.7846
143,1,2304,0.2304
144,1,2611,0.2611
145,1,2978,0.2978
146,1,6977,0.6977
147,1,232,0.0232
148,1,917,0.0917
149,1,3998,0.3998
150,1,86,0.0086
151,1,1261,0.1261
152,1,12195,1.2195
153,1,166,0.0166
154,1,4701,0.4701
155,1,1566,0.1566
156,1,8974,0.8974
157,1,16260,1.626
158,1,646,0.0646
159,1,2012,0.2012
160,1,1295,0.1295
161,1,10502,1.0502
162,1,19620,1.962
163,1,186,0.0186
164,1,20047,2.0047
165,1,7780,0.778
166,1,1364,0.1364
167,1,13894,1.3894
168,1,448,0.0448
169,1,920,0.092
170,1,909,0.0909
171,1,2873,0.2873
172,1,31141,3.1141
173,1,22170,2.217
174,1,3163,0.3163
175,1,3546,0.3546
176,1,15202,1.5202
177,1,2006,0.2006
178,1,53,0.0053
179,1,2954,0.2954
180,1,1326,0.1326
181,1,47,0.0047
182,1,7710,0.771
183,1,11008,1.1008
184,1,2081,0.2081
185,1,5167,0.5167
186,1,4399,0.4399
187,1,4594,0.4594
188,1,978,0.0978
189,1,6620,0.662
190,1,7263,0.7263
191,1,21294,2.1294
192,1,12232,1.2232
193,1,2352,0.2352
194,1,2949,0.2949
195,1,5302,0.5302
196,1,17541,1.7541
197,1,10846,1.0846
198,1,2522,0.2522
199,1,599,0.0599
0,2,2272,0.2272
1,2,65924,6.5924
2,2,10870,1.087
3,2,74707,7.4707
4,2,10477,1.0477
5,2,6457,0.6457
6,2,17099,1.7099
7,2,35937,3.5937
8,2,1643,0.1643
9,2,2388,0.2388
10,2,2749,0.2749
11,2,18590,1.859
12,2,1537,0.1537
13,2,5347,0.5347
14,2,2317,0.2317
15,2,18071,1.8071
16,2,381,0.0381
17,2,8896,0.8896
18,2,2133,0.2133
19,2,2934,0.2934
20,2,4808,0.4808
21,2,40,0.004
22,2,5917,0.5917
23,2,4588,0.4588
24,2,4557,0.4557
25,2,39941,3.9941
26,2,659,0.0659
27,2,28049,2.8049
28,2,216,0.0216
29,2,556,0.0556
30,2,13235,1.3235
31,2,1617,0.1617
32,2,7357,0.7357
33,2,29,0.0029
34,2,13680,1.368
35,2,5090,0.509
36,2,967,0.0967
37,2,1316,0.1316
38,2,9535,0.9535
39,2,5971,0.5971
40,2,8157,0.8157
41,2,22708,2.2708
42,2,15611,1.5611
43,2,16924,1.6924
44,2,1397,0.1397
45,2,1191,0.1191
46,2,143,0.0143
47,2,10927,1.0927
48,2,20921,2.0921
49,2,8171,0.8171
50,2,8439,0.8439
51,2,12263,1.2263
52,2,7960,0.796
53,2,8128,0.8128
54,2,5769,0.5769
55,2,2397,0.2397
56,2,11595,1.1595
57,2,2979,0.2979
58,2,5349,0.5349
59,2,9418,0.9418
60,2,6307,0.6307
61,2,16048,1.6048
62,2,13516,1.3516
63,2,15461,1.5461
64,2,345,0.0345
65,2,2446,0.2446
66,2,4297,0.4297
67,2,6257,0.6257
68,2,5675,0.5675
69,2,16228,1.6228
70,2,466,0.0466
71,2,6616,0.6616
72,2,3617,0.3617
73,2,9578,0.9578
74,2,5292,0.5292
75,2,7165,0.7165
76,2,23842,2.3842
77,2,6937,0.6937
78,2,10478,1.0478
79,2,790,0.079
80,2,15620,1.562
81,2,19200,1.92
82,2,12064,1.2064
83,2,297,0.0297
84,2,4319,0.4319
85,2,3126,0.3126
86,2,3111,0.3111
87,2,4320,0.432
88,2,3884,0.3884
89,2,3278,0.3278
90,2,9345,0.9345
91,2,2792,0.2792
92,2,8641,0.8641
93,2,251,0.0251
94,2,230,0.023
95,2,2786,0.2786
96,2,5795,0.5795
97,2,13113,1.3113
98,2,8596,0.8596
99,2,7463,0.7463
100,2,9035,0.9035
101,2,9473,0.9473
102,2,2516,0.2516
103,2,8433,0.8433
104,2,392,0.0392
105,2,108,0.0108
106,2,7079,0.7079
107,2,2234,0.2234
108,2,18552,1.8552
109,2,2240,0.224
110,2,24041,2.4041
111,2,28771,2.8771
112,2,6024,0.6024
113,2,6549,0.6549
114,2,13438,1.3438
115,2,577,0.0577
116,2,3334,0.3334
117,2,4626,0.4626
118,2,5734,0.5734
119,2,5321,0.5321
120,2,10995,1.0995
121,2,5348,0.5348
122,2,3278,0.3278
123,2,9991,0.9991
124,2,18239,1.8239
125,2,10733,1.0733
126,2,599,0.0599
127,2,9686,0.9686
128,2,4216,0.4216
129,2,697,0.0697
130,2,516,0.0516
131,2,15756,1.5756
132,2,5198,0.5198
133,2,11085,1.1085
134,2,2116,0.2116
135,2,705,0.0705
136,2,9273,0.9273
137,2,3652,0.3652
138,2,822,0.0822
139,2,1766,0.1766
140,2,6399,0.6399
141,2,73,0.0073
142,2,3172,0.3172
143,2,1852,0.1852
144,2,4715,0.4715
145,2,19,0.0019
146,2,73,0.0073
147,2,5816,0.5816
148,2,5722,0.5722
149,2,2002,0.2002
150,2,3340,0.334
151,2,1408,0.1408
152,2,3736,0.3736
153,2,2671,0.2671
154,2,5536,0.5536
155,2,2677,0.2677
156,2,14499,1.4499
157,2,1516,0.1516
158,2,13880,1.388
159,2,2476,0.2476
160,2,3410,0.341
161,2,4804,0.4804
162,2,352,0.0352
163,2,2640,0.264
164,2,2019,0.2019
165,2,1046,0.1046
166,2,7937,0.7937
167,2,9985,0.9985
168,2,417,0.0417
169,2,4717,0.4717
170,2,7041,0.7041
171,2,935,0.0935
