tipo,reflection,reward,A,B,C
periodico,0,1,3.0372946380923644,0.15395759814557303,0.6687285153145314
periodico,1,1,1.8054976330086674,0.1183483598619281,0.587530619529223
colisao,0,0.005,5.374963028037232,0.10616245744944683,1.3274545263786177
colisao,1,0.005,2.6241519932522697,0.057584677692848106,0.8722032524797524
colisao,0,0.01,4.200833691849866,0.16877454937063116,1.185718980273578
colisao,1,0.01,2.6051433688380836,0.24477099085942303,1.6131866614808439
